crag_number,crag_name,description,route_count,best_period,busy_level,exposure,shade,elevation_m,crag_url
01,"NifadaAt 800m elevation, a col","01NifadaAt 800m elevation, a colorful cave with hardcore sport climbing. Just before it is Frankenstein, a grey cliff with a few 5c-6b routes.Routes:62Best period:April – NovemberBusy:••",62,,2,"NShade: All day on the right. Until 16:00 on the left (in spring and summer).Routes01    Chrisul5b30m02    Nihao5c35m03    Chilema6a+35m04    Manzou6b20m05    Haesghum6b30m06    Zaijian6b35m07    Juar6a20m08    Gudsi6b20m09    Gudsi ext6b35m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official","All day on the right. Until 16:00 on the left (in spring and summer).Routes01    Chrisul5b30m02    Nihao5c35m03    Chilema6a+35m04    Manzou6b20m05    Haesghum6b30m06    Zaijian6b35m07    Juar6a20m08    Gudsi6b20m09    Gudsi ext6b35m
















This was co-financed under the local approach LEADER of the RDP 2007-2013 by the European Union (EAFRD) and the Greek State.


In co-operation with



Sponsors
























© 2026 climbinleonidio.com


  info@climbinleonidio.com

  @climbinleonidio.official",800,http://climbinleonidio.com/view/?crag=Nifada
02,"PanoramaAt 700m elevation, a s","02PanoramaAt 700m elevation, a shady and cool crag with technical, vertical climbing. Bolting, though, is not climber-friendly.Routes:21Best period:April – NovemberBusy:••",21,,2,,,700,http://climbinleonidio.com/view/?crag=Panorama
03,ElonaA world-class tufa crag i,03ElonaA world-class tufa crag in the mountains for hardcore sport climbing.Routes:71Best period:April – DecemberBusy:••••,71,,4,,,,http://climbinleonidio.com/view/?crag=Elona
04,NeanderthalA new hard crag in,"04NeanderthalA new hard crag in the mountains at 750m. Short, tough cave routes, or longer climbs on tufas and compact walls.Routes:21Best period:Year–roundBusy:•",21,,1,,,,http://climbinleonidio.com/view/?crag=Neanderthal
05,La,"05La Maison des ChèvresA cave with crimpy grey or steep hard routes. On left, sub-sectors Le Château Polonais, Le Jardin Publique offer technical climbing.Routes:51Best period:November – MarchBusy:•••",51,,3,,,,http://climbinleonidio.com/view/?crag=La-Maison-des-Chèvres
06,Adršpach,"06Adršpach WallAn impressive, slightly overhanging wall with tufas and bulges opposite the road to Élona.Routes:14Best period:November – MarchBusy:•••",14,,3,,,,http://climbinleonidio.com/view/?crag=Adršpach-Wall
07,SkiadiánikoA major crag with r,"07SkiadiánikoA major crag with routes of all grades and climbing styles, and sub-sector Pomegranate, small cliff in the shade after 14:30.Routes:68Best period:October – AprilBusy:•••",68,,3,,,,http://climbinleonidio.com/view/?crag=Skiadiániko
08,LimériA roadside crag with lot,08LimériA roadside crag with lots of variety and some outstanding tufa routes in the 7c–8a range.Routes:40Best period:October – AprilBusy:•••,40,,3,,,,http://climbinleonidio.com/view/?crag=Liméri
09,KamáresA new crag with two lar,"09KamáresA new crag with two large caves. Good for some of the best 8b routes on the right side, but needs more traffic.Routes:35Best period:November – MarchBusy:•",35,,1,,,,http://climbinleonidio.com/view/?crag=Kamáres
10,El,10El PerpatiAn angular pillar with vertical or slightly overhanging routes on good rock. With traffic it will improve and become a great crag.Routes:21Best period:October – AprilBusy:••,21,,2,,,,http://climbinleonidio.com/view/?crag=El-Perpati
