crag_number,crag_name,route_number,route_name,grade,length_m,route_url
01,"NifadaAt 800m elevation, a col",01,Hase,6c,18,https://climbinleonidio.com/route/hase-16/
01,"NifadaAt 800m elevation, a col",02,Igel,7b+,15,https://climbinleonidio.com/route/igel-16/
01,"NifadaAt 800m elevation, a col",03,Sonic,6c+,15,https://climbinleonidio.com/route/sonic-16/
01,"NifadaAt 800m elevation, a col",04,Der igel schlägt zurück,7b+,20,https://climbinleonidio.com/route/der-igel-schlagt-zuruck-16/
01,"NifadaAt 800m elevation, a col",05,De puta madre,8c,30,https://climbinleonidio.com/route/de-puta-madre-16/
01,"NifadaAt 800m elevation, a col",06,Stelli mantrisch,6c+,15,https://climbinleonidio.com/route/stelli-mantrisch-16/
01,"NifadaAt 800m elevation, a col",07,Bat patting,8c+,50,https://climbinleonidio.com/route/bat-patting-16/
01,"NifadaAt 800m elevation, a col",08,Prend ton trou,8b+,45,https://climbinleonidio.com/route/prend-ton-trou-16/
01,"NifadaAt 800m elevation, a col",09,The glue,8b,30,https://climbinleonidio.com/route/the-glue-16/
01,"NifadaAt 800m elevation, a col",10,Boys,8a,30,https://climbinleonidio.com/route/boys-16/
01,"NifadaAt 800m elevation, a col",11,Girls,8a+,30,https://climbinleonidio.com/route/girls-16/
01,"NifadaAt 800m elevation, a col",12,Baumkraxler,7a+,15,https://climbinleonidio.com/route/baumkraxler-16/
01,"NifadaAt 800m elevation, a col",13,Baum des lebens,8a+,25,https://climbinleonidio.com/route/baum-des-lebens-16/
01,"NifadaAt 800m elevation, a col",14,In memo martin,6c+,15,https://climbinleonidio.com/route/in-memo-martin-16/
01,"NifadaAt 800m elevation, a col",15,Cac,8a,25,https://climbinleonidio.com/route/cac-16/
01,"NifadaAt 800m elevation, a col",16,Wings for life,8a+,30,https://climbinleonidio.com/route/wings-for-life-16/
01,"NifadaAt 800m elevation, a col",17,Angi orangi,6c,15,https://climbinleonidio.com/route/angi-orangi-16/
01,"NifadaAt 800m elevation, a col",18,Angi orangi ext,8a,35,https://climbinleonidio.com/route/angi-orangi-ext-16/
01,"NifadaAt 800m elevation, a col",19,Angi orangi direct,8a,35,https://climbinleonidio.com/route/angi-orangi-direct-16/
01,"NifadaAt 800m elevation, a col",20,Brexit,7c,35,https://climbinleonidio.com/route/brexit-16/
01,"NifadaAt 800m elevation, a col",21,Bauschkraft,8008a,35,https://climbinleonidio.com/route/bauschkraft-800-16/
01,"NifadaAt 800m elevation, a col",,22Bauschkraft,800,,https://climbinleonidio.com/route/bauschkraft-800-ext-16/
01,"NifadaAt 800m elevation, a col",23,Croits slits shrauben tsia,6a+,18,https://climbinleonidio.com/route/croits-slits-shrauben-tsia-16/
01,"NifadaAt 800m elevation, a col",24,Honich kouchen feat,7a,15,https://climbinleonidio.com/route/honich-kouchen-feat-16/
01,"NifadaAt 800m elevation, a col",25,Fronapropen,6b,10,https://climbinleonidio.com/route/fronapropen-16/
01,"NifadaAt 800m elevation, a col",26,Donkey kong junior,8a,25,https://climbinleonidio.com/route/donkey-kong-junior-16/
01,"NifadaAt 800m elevation, a col",27,Donkey kong,8b,30,https://climbinleonidio.com/route/donkey-kong-16/
01,"NifadaAt 800m elevation, a col",28,Guigui the kid,8c,25,https://climbinleonidio.com/route/guigui-the-kid-16/
01,"NifadaAt 800m elevation, a col",29,Rainbow warrior,8c,25,https://climbinleonidio.com/route/rainbow-warrior-16/
01,"NifadaAt 800m elevation, a col",,30Nid de fadas9a+?25,,,https://climbinleonidio.com/route/nid-de-fadas-16/
01,"NifadaAt 800m elevation, a col",,31K3 clibing7c15,,,https://climbinleonidio.com/route/k3-climbing-16/
01,"NifadaAt 800m elevation, a col",,32K3 clibing ext8b+25,,,https://climbinleonidio.com/route/k3-climbing-ext-16/
01,"NifadaAt 800m elevation, a col",33,First class,7c+,15,https://climbinleonidio.com/route/first-class-16/
01,"NifadaAt 800m elevation, a col",34,Bergsteigerkante,7c+,10,https://climbinleonidio.com/route/bergsteigerkante-16/
01,"NifadaAt 800m elevation, a col",35,Bergsteigerkante ext,8b+,20,https://climbinleonidio.com/route/bergsteigerkante-ext-16/
01,"NifadaAt 800m elevation, a col",36,Lai lai,7a,25,https://climbinleonidio.com/route/lai-lai-16/
01,"NifadaAt 800m elevation, a col",37,Manyong,7a,20,https://climbinleonidio.com/route/manyong-16/
01,"NifadaAt 800m elevation, a col",38,Stalker,7a,20,https://climbinleonidio.com/route/stalker-16/
01,"NifadaAt 800m elevation, a col",39,Bernie musculus,7c+,15,https://climbinleonidio.com/route/bernie-musculus-16/
01,"NifadaAt 800m elevation, a col",,40No nae 407b+?15,,,https://climbinleonidio.com/route/no-name-40-16/
01,"NifadaAt 800m elevation, a col",41,Dr oktagon left variation,7a+,15,https://climbinleonidio.com/route/dr-oktagon-left-variation-16/
01,"NifadaAt 800m elevation, a col",42,Dr oktagon,8a+,15,https://climbinleonidio.com/route/dr-oktagon-16/
01,"NifadaAt 800m elevation, a col",43,No name,437b,15,https://climbinleonidio.com/route/no-name-43-16/
01,"NifadaAt 800m elevation, a col",44,No name,447a+,15,https://climbinleonidio.com/route/no-name-44-31/
01,"NifadaAt 800m elevation, a col",45,Caveman,7a,15,https://climbinleonidio.com/route/caveman-16/
01,"NifadaAt 800m elevation, a col",46,Stone age graffiti,7b,15,https://climbinleonidio.com/route/stone-age-graffiti-16/
01,"NifadaAt 800m elevation, a col",47,Erdogan is a terrorist?,1,5,https://climbinleonidio.com/route/erdogan-is-a-terrorist-16/
01,"NifadaAt 800m elevation, a col",48,Project?,2,2,https://climbinleonidio.com/route/project-91/
01,"NifadaAt 800m elevation, a col",49,Action indirect?,2,2,https://climbinleonidio.com/route/action-indirect-16/
01,"NifadaAt 800m elevation, a col",50,Fingerbillard,7b,22,https://climbinleonidio.com/route/fingerbillard-16/
01,"NifadaAt 800m elevation, a col",51,The bee,7c,22,https://climbinleonidio.com/route/the-bee-16/
01,"NifadaAt 800m elevation, a col",52,"Girl, you’ll be a woman soon",7a+,22,https://climbinleonidio.com/route/girl-youll-be-a-woman-soon-16/
01,"NifadaAt 800m elevation, a col",53,Le big mac,7b+,22,https://climbinleonidio.com/route/le-big-mac-16/
01,"NifadaAt 800m elevation, a col",01,Chrisul,5b,30,https://climbinleonidio.com/route/chrisul-16/
01,"NifadaAt 800m elevation, a col",02,Nihao,5c,35,https://climbinleonidio.com/route/nihao-16/
01,"NifadaAt 800m elevation, a col",03,Chilema,6a+,35,https://climbinleonidio.com/route/chilema-16/
01,"NifadaAt 800m elevation, a col",04,Manzou,6b,20,https://climbinleonidio.com/route/manzou-16/
01,"NifadaAt 800m elevation, a col",05,Haesghum,6b,30,https://climbinleonidio.com/route/haesghum-16/
